Class,Species,Order,Mass,Tb,Tlc,BMR,Cmin,BMR.res,Cmin.res,A,I
Mammals,Planigale maculata,Dasyuromorphia,13.1,34.2,31,13.2,4.13,-0.23,0.02,0.25,0.09
Mammals,Caluromys derbianus,Didelphimorphia,357,34,25,203.5,22.61,-0.08,-0.05,0.03,0
Mammals,Chironectes minimus,Didelphimorphia,946,35.3,24.5,548.7,50.81,0.04,0.06,0.02,1
Mammals,Didelphis marsupialis,Didelphimorphia,1329,35,25.5,611.3,64.35,-0.02,0.08,0.1,0.81
Mammals,Didelphis virginiana,Didelphimorphia,3257,34.8,22,1074.8,83.97,-0.05,-0.02,0.03,0
Mammals,Lutreolina crassicaudata,Didelphimorphia,812,35.8,27,406,46.14,-0.04,0.06,0.1,0.6
Mammals,Marmosa lepida,Didelphimorphia,106,36.3,31,63.6,12,-0.2,-0.03,0.17,0
Mammals,Marmosa robinsoni,Didelphimorphia,122,34,26.5,97.6,13.01,-0.06,-0.03,0.03,0
Mammals,Metachirus nudicaudatus,Didelphimorphia,336,35,27.5,205,27.33,-0.06,0.05,0.11,0.45
Mammals,Monodelphis brevicaudata,Didelphimorphia,111,33.8,28,75.5,13.02,-0.14,0,0.14,0
Mammals,Philander opossum,Didelphimorphia,751,35.8,29.5,338,53.65,-0.1,0.14,0.24,0.59
Mammals,Cercartetus nanus,Diprotodontia,60,34.9,31,51.6,13.23,-0.12,0.16,0.28,0.56
Mammals,Cercopithecus mitis,Diprotodontia,8800,37,5,3520,110,0.15,-0.15,-0.3,0.49
Mammals,Dendrolagus matschiei,Diprotodontia,6960,36.3,27,1426.8,153.42,-0.17,0.06,0.23,0.25
Mammals,Lagorchestes conspicillatus,Diprotodontia,2660,35.8,25,851.2,78.81,-0.09,0,0.09,0.02
Mammals,Lasiorhinus latifrons,Diprotodontia,25000,34,25,2750,305.56,-0.29,0.04,0.33,0.13
Mammals,Macropus giganteus,Diprotodontia,26200,36.5,15,7074,329.02,0.11,0.06,-0.05,0
Mammals,Macropus rufus,Diprotodontia,23300,36.3,15,5032.8,236.28,0,-0.05,-0.05,1
Mammals,Petaurus breviceps,Diprotodontia,130,36.3,27,93.6,10.06,-0.1,-0.15,-0.05,1
Mammals,Phascolarctos cinereus,Diprotodontia,4765,35.8,20,1048.3,66.35,-0.19,-0.22,-0.03,1
Mammals,Tarsipes rostratus,Diprotodontia,10,36.6,28,29,3.37,0.2,0,-0.2,0
Mammals,Atelerix albiventris,Erinaceomorpha,450,35.2,30,146.7,28.21,-0.3,-0.01,0.29,0
Mammals,Erinaceus concolor,Erinaceomorpha,822.7,35.2,27.5,347.2,45.09,-0.11,0.05,0.16,0.3
Mammals,Heterohyrax brucei,Hyracoidae,1287,36.4,25,669.2,58.7,0.03,0.05,0.02,1
Mammals,Sylvilagus audubonii,Lagomorpha,701,38.25,28,456.4,44.53,0.06,0.08,0.02,1
Mammals,Elephantulus edwardii,Macroscelidae,49.8,3.76E+01,32.5,54.3,10.65,-0.04,0.11,0.15,0.73
Mammals,Macroscelides proboscideus,Macroscelidae,38.8,36.23,35,52,42.28,0.02,0.77,0.75,1
Mammals,Colobus guereza,Primates,10800,37,5,3132,97.88,0.03,-0.25,-0.28,0.89
Mammals,Eulemur fulvus,Primates,2330,38.8,30,324.8,36.91,-0.47,-0.29,0.18,0
Mammals,Nycticebus coucang,Primates,953.3,35.1,25,218.3,21.61,-0.36,-0.31,0.05,0
Mammals,Perodicticus potto,Primates,932,36,25,347.6,31.6,-0.15,-0.14,0.01,0
Mammals,Abrothrix andinus,Rodentia,34.6,39.3,27,64.7,5.26,0.16,-0.11,-0.27,0.41
Mammals,Abrothrix longipilis,Rodentia,42.3,36.5,27,57.5,6.05,0.04,-0.1,-0.14,0.71
Mammals,Akodon azarae,Rodentia,30,37.7,30,51,6.62,0.1,0.02,-0.08,0
Mammals,Ammospermophilus leucurus,Rodentia,79.2,37.2,31,103,16.61,0.1,0.19,0.09,1
Mammals,Aplodontia rufa,Rodentia,630,38,26.5,277.2,24.1,-0.13,-0.16,-0.03,1
Mammals,Apodemus mystacinus,Rodentia,42.3,38.3,28,70.6,6.85,0.13,-0.04,-0.17,0.25
Mammals,Auliscomys boliviensis,Rodentia,76.8,36.9,23,110.6,7.96,0.14,-0.13,-0.27,0.47
Mammals,Baiomys taylori,Rodentia,7.3,36,29,14.2,2.03,-0.01,-0.14,-0.13,1
Mammals,Cabassous centralis,Rodentia,3180,33.6,27.5,677.3,111.03,-0.25,0.11,0.36,0.3
Mammals,Cannomys badius,Rodentia,344,36,27,172,19.11,-0.14,-0.11,0.03,0
Mammals,Chaetodipus hispidus,Rodentia,35.8,37.5,30.5,44.8,6.4,-0.02,-0.03,-0.01,1
Mammals,Chaetodipus intermedius,Rodentia,14.6,35,33,15.6,7.8,-0.19,0.27,0.46,0.59
Mammals,Cryptomys bocagei,Rodentia,94,33.7,31.5,69.6,31.64,-0.13,0.42,0.55,0.77
Mammals,Cryptomys damarensis,Rodentia,124,35.2,27,70.7,8.62,-0.21,-0.21,0,0
Mammals,Cryptomys hottentotus,Rodentia,77,33.8,28,48.5,8.36,-0.22,-0.1,0.12,0
Mammals,Cryptomys mechowi,Rodentia,267,34,29,160.2,32.04,-0.09,0.17,0.26,0.66
Mammals,Ctenomys talarum,Rodentia,126,36.1,25,119.2,10.74,0.01,-0.12,-0.13,0.92
Mammals,Cynomys ludovicianus,Rodentia,1112.3,37.2,30,422.7,58.71,-0.12,0.09,0.21,0.42
Mammals,Dasyprocta azarae,Rodentia,3849,37.4,18,1886,97.22,0.14,0,-0.14,0
Mammals,Dasyprocta leporina,Rodentia,2687,38.3,20,1558.5,85.16,0.17,0.03,-0.14,0
Mammals,Dipodomys deserti,Rodentia,106,36.8,28.5,92.2,11.11,-0.04,-0.06,-0.02,1
Mammals,Dipodomys microps,Rodentia,57.2,36.4,27,66.9,7.12,0.01,-0.1,-0.11,0.91
Mammals,Dolichotis salinicola,Rodentia,1613,38.4,28,725.9,69.8,0,0.07,0.07,1
Mammals,Geomys bursarius,Rodentia,197,36.4,30,137.9,21.55,-0.06,0.08,0.14,0.56
Mammals,Geomys pinetis,Rodentia,202,36.1,26,135.3,13.4,-0.08,-0.14,-0.06,1
Mammals,Georychus capensis,Rodentia,192.6,36.4,26.3,113.6,11.25,-0.14,-0.2,-0.06,1
