Class,Species,Mass,Tb,Tlc,BMR,Species.Map,Longitude,Latitude,MeanTemp,MaxTemp,MinTemp,Migration
Birds,Emberiza_pusilla,11.3,39.8,20,45.2,Emberiza_pusilla,104.7546261,62.68552358,-5.886658859,19.76255493,-29.64638367,Long Migrants
Birds,Emberiza_rutila,15.3,39.5,25,58.3,Emberiza_rutila,110.5182314,55.33743029,-3.421856689,21.95623322,-29.89941711,Long Migrants
Birds,Emberiza_spodocephala,15.1,40.3,20,68.4,Emberiza_spodocephala,118.3069201,52.61424656,-2.30999279,22.36082001,-28.4934845,Long Migrants
Birds,Epimachus_meyeri,202.7,41,18,316.9,Epimachus_meyeri,141.9651755,-5.42812656,15.77642059,19.03982086,12.63402023,Resident
Birds,Eremalauda_dunni,20.6,40,31.5,47.8,Eremalauda_dunni,0.49860597,18.18176621,28.23703613,41.36264648,13.25862732,Resident
Birds,Eremiornis_carteri,12.3,39.1,30,34.1,Poodytes_carteri,130.3872566,-21.83597005,25.23639221,37.0578064,10.27394714,Resident
Birds,Eremophila_alpestris,26,42,26,56.6,Eremophila_alpestris,4.70502341,53.87433383,-0.612698984,21.49635315,-21.4950592,Long Migrants
Birds,Erythrura_gouldiae,15.5,42.1,31.7,37.4,Chloebia_gouldiae,135.2527406,-16.45399371,26.38118896,34.92750549,15.67727051,Resident
Birds,Estrilda_melpoda,7.5,43,35,22.5,Estrilda_melpoda,8.91063659,3.00006091,24.61490173,31.0616333,19.05521393,Resident
Birds,Fringilla_montifringilla,21,40.4,25,66,Fringilla_montifringilla,91.64707836,60.66157298,-3.58780632,20.35473175,-26.00986633,Long Migrants
Birds,Hylophylax_naevioides,16.1,40,30,41.1,Hylophylax_naevioides,-79.4905289,7.83633762,24.67816315,28.07869263,21.5171463,Resident
Birds,Icterus_bullockii,34,40,27,86.5,Icterus_bullockiorum,-110.6177279,38.24701543,11.89179993,30.34108276,-4.126922989,Long Migrants
Birds,Icterus_galbula,34,39.8,27,86.5,Icterus_galbula,-91.75933288,43.64383922,8.580249023,27.00870972,-10.10511551,Long Migrants
