ThermoMode,Group,ID,Lineage1.Name,Lineage2.Name,Lineage1.Mean.dS,Lineage2.Mean.dS,Lineage1.Mean.dN,Lineage2.Mean.dN,Lineage1.Spp,Lineage2.Spp,Diff.dS,Diff.dS.SD,Diff.dN,Diff.dN.SD,Diff.Spp
Endotherms,Mammals,17,Aotidae,Callitrichidae,0.160053342,0.367831483,0.007158675,0.009865492,11,47,0.835498311,0.128204565,0.313435357,0.119654925,1.452252329
Endotherms,Mammals,18,Hominidae+Hylobatidae,Cercopithecidae,0.257382418,0.304464414,0.015641458,0.020924542,27,139,0.162264062,0.154727286,0.291465056,0.127999947,1.638637067
Endotherms,Mammals,19,Ochotonidae,Leporidae,0.729288128,0.92821733,0.01532964,0.012867734,32,67,0.251948495,0.261472999,-0.175094135,0.035877067,0.738956717
Endotherms,Mammals,21,Bathyergidae,Heterocephalidae,0.010068,0.012579,0.000703333,0.000516,19,1,-0.22266668,NA,0.309723698,NA,2.944438979
Endotherms,Mammals,22,Echimyidae,Capromyidae,0.341638987,0.333252067,0.010978833,0.0104043,88,11,0.024409684,0.129308746,0.049736539,0.125254564,2.079441542
Endotherms,Mammals,23,Ctenomyidae,Octodontidae+Cuniculidae,0.463286185,0.314161481,0.012145111,0.009447778,59,16,0.38771182,0.043699345,0.250466764,0.149682452,1.304948722
Endotherms,Mammals,24,Erethizontidae,Caviidae+Dasyproctidae,0.611032,0.689225334,0.016040834,0.0197725,19,36,0.118152699,0.060124437,0.209087396,0.012313206,0.639079959
Endotherms,Mammals,25,Zapodidae,Dipodidae,0.753298733,0.7877338,0.015785933,0.016776133,4,35,0.033131789,0.415576157,0.060621285,0.083241835,2.1690537
Endotherms,Mammals,28,Hipposideridae+Rhinonycteridae,Rhinolophidae,0.235546833,0.3922559,0.007116567,0.007660767,95,90,-0.515095071,0.165610742,-0.071470116,0.080784481,0.054067221
Endotherms,Mammals,29,Noctilionidae,Furipteridae,0.575458333,0.675891667,0.014777,0.015696667,2,2,-0.160865983,NA,-0.060376479,NA,0
Endotherms,Mammals,30,Mormoopidae,Phyllostomidae,0.451686222,0.590482767,0.008542867,0.013265744,12,207,0.272213383,0.123287763,0.421553273,0.178271507,2.847812143
Endotherms,Mammals,31,Miniopteridae,Vespertilionidae+Cistugidae,0.5665947,0.573463933,0.011202867,0.0161523,32,453,0.007628346,0.123519433,0.356600699,0.152134816,2.650156223
Endotherms,Mammals,32,Eupleridae,Herpestidae,0.209292889,0.332000667,0.005407889,0.008300889,9,36,0.46080858,0.026353722,0.424878856,0.116598926,1.386294361
Endotherms,Mammals,33,Felidae,Prionodontidae,0.242424567,0.278603067,0.005833567,0.0073285,41,2,-0.14036626,0.052811121,-0.233831128,0.100647086,3.020424886
